PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
A Mukund,"Chennai Super Kings, Royal Challengers Bangalore",2008-2013,3,2,0,19,19,9.5,22,86.36,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-
A Nehra,"Chennai Super Kings, Delhi Daredevils, Mumbai Indians, Pune Warriors, Sunrisers Hyderabad",2008-2017,88,22,15,41,22*,5.85,62,66.12,0,0,5,3,1,88,318.0,2,2495,106,4/10,23.53,7.84,18,1,0
A Nel,Mumbai Indians,2008-2008,1,1,0,0,0,0,0,-,0,0,1,0,0,1,3.0,0,31,1,1/31,31,10.33,18,0,0
A Nortje,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants",2020-2026,49,18,11,49,23*,7,50,98,0,0,3,6,0,49,186.4,1,1696,61,3/33,27.8,9.08,18.3,0,0
A Raghuvanshi,Kolkata Knight Riders,2024-2026,26,22,3,618,54,32.52,418,147.84,0,4,0,63,22,-,-,-,-,-,-,-,-,-,-,-
A Singh,Rajasthan Royals,2009-2012,23,5,1,2,1*,0.5,10,20,0,0,3,0,0,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0
A Symonds,"Deccan Chargers, Mumbai Indians",2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,30,87.5,0,674,20,3/21,33.7,7.67,26.3,0,0
A Taide,"Punjab Kings, Sunrisers Hyderabad",2023-2025,10,10,0,260,66,26,177,146.89,0,2,1,30,8,1,0.1,0,4,0,-,-,24,-,0,0
A Tomar,Kolkata Knight Riders,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
A Uniyal,Rajasthan Royals,2010-2010,2,2,1,4,4*,4,7,57.14,0,0,1,0,0,2,6.0,0,66,2,2/41,33,11,18,0,0
A Zampa,"Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore, Sunrisers Hyderabad",2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,22,77.5,0,652,31,6/19,21.03,8.37,15,0,1
AA Bilakhia,Deccan Chargers,2009-2010,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-
AA Chavan,Rajasthan Royals,2011-2013,13,3,1,12,7*,6,11,109.09,0,0,0,2,0,13,41.2,0,326,8,2/23,40.75,7.88,31,0,0
AA Jhunjhunwala,"Deccan Chargers, Pune Warriors, Rajasthan Royals",2010-2012,21,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,10,14.1,0,129,1,1/13,129,9.1,85,0,0
AA Kazi,Royal Challengers Bangalore,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0,0,21,0,-,-,10.5,-,0,0
AA Kulkarni,Lucknow Super Giants,2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-
AA Noffke,Royal Challengers Bangalore,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,1,4.0,0,40,1,1/40,40,10,24,0,0
AB Agarkar,"Delhi Daredevils, Kolkata Knight Riders",2008-2013,42,22,12,179,39,17.9,154,116.23,0,0,1,13,5,42,130.2,0,1151,29,3/25,39.68,8.83,26.9,0,0
AB Barath,Kings XI Punjab,2010-2010,3,3,1,42,33,21,42,100,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,"Delhi Daredevils, Kolkata Knight Riders, Pune Warriors, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore",2008-2017,78,17,7,26,7,2.6,48,54.16,0,0,6,2,0,75,252.4,3,2073,69,4/18,30.04,8.2,21.9,1,0
AB McDonald,"Delhi Daredevils, Royal Challengers Bangalore",2009-2013,11,9,4,123,33*,24.6,100,123,0,0,1,9,4,10,31.0,0,261,11,2/25,23.72,8.41,16.9,0,0
AB de Villiers,"Delhi Daredevils, Royal Challengers Bangalore",2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251,-,-,-,-,-,-,-,-,-,-,-
AC Blizzard,Mumbai Indians,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,-,-,-,-,-,-,-,-,-,-,-
AC Gilchrist,"Deccan Chargers, Kings XI Punjab",2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,1,0.1,0,0,1,1/0,0,0,1,0,0
AC Thomas,Pune Warriors,2011-2012,15,4,2,20,12,10,19,105.26,0,0,0,1,1,15,52.3,2,406,14,3/22,29,7.73,22.5,0,0
AC Voges,Rajasthan Royals,2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,7,9.0,0,76,0,-,-,8.44,-,0,0
AD Hales,Sunrisers Hyderabad,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,-,-,-,-,-,-,-,-,-,-,-
AD Mascarenhas,"Kings XI Punjab, Rajasthan Royals",2008-2013,13,11,2,79,27,8.77,78,101.28,0,0,2,5,1,13,51.2,1,356,19,5/25,18.73,6.93,16.2,0,1
AD Mathews,"Delhi Daredevils, Kolkata Knight Riders, Pune Warriors",2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,44,131.5,0,1079,27,4/19,39.96,8.18,29.2,1,0
AD Nath,"Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore",2016-2019,14,10,0,90,24,9,98,91.83,0,0,1,7,2,-,-,-,-,-,-,-,-,-,-,-
AD Russell,"Delhi Daredevils, Kolkata Knight Riders",2012-2025,140,115,21,2651,88*,28.2,1522,174.17,0,12,6,186,223,121,301.0,0,2863,123,5/15,23.27,9.51,14.6,2,1
AF Milne,"Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore",2016-2022,10,6,2,23,15,5.75,29,79.31,0,0,1,0,1,10,34.3,0,327,7,2/21,46.71,9.47,29.5,0,0
AG Murtaza,"Mumbai Indians, Pune Warriors",2010-2013,12,3,2,10,5,10,14,71.42,0,0,0,1,0,12,44.0,0,313,9,3/15,34.77,7.11,29.3,0,0
AG Paunikar,Rajasthan Royals,2010-2011,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0,-,-,-,-,-,-,-,-,-,-,-
AJ Finch,"Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad",2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78,5,7.1,0,67,1,1/11,67,9.34,43,0,0
AJ Hosein,"Chennai Super Kings, Sunrisers Hyderabad",2023-2026,2,1,1,16,16*,-,10,160,0,0,0,1,1,2,6.0,0,60,1,1/40,60,10,36,0,0
AJ Turner,"Lucknow Super Giants, Rajasthan Royals",2019-2024,6,6,1,24,16,4.8,28,85.71,0,0,3,0,2,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,"Gujarat Lions, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals",2017-2022,30,13,4,91,25,10.11,76,119.73,0,0,2,6,5,30,114.0,0,979,42,5/17,23.3,8.58,16.2,3,1
AK Markram,"Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad",2021-2026,61,59,9,1548,68*,30.96,1137,136.14,0,10,2,125,62,21,33.5,0,302,6,2/30,50.33,8.92,33.8,0,0
AL Menaria,Rajasthan Royals,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,12,18.2,0,144,3,2/20,48,7.85,36.6,0,0
AM Ghazanfar,Mumbai Indians,2026-2026,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6.0,0,72,2,2/21,36,12,18,0,0
AM Nayar,"Kings XI Punjab, Mumbai Indians, Pune Warriors, Rajasthan Royals",2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,19,38.1,0,322,9,3/13,35.77,8.43,25.4,0,0
AM Rahane,"Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants",2008-2026,202,187,19,5156,105*,30.69,4105,125.6,2,34,13,522,130,1,1.0,0,5,1,1/5,5,5,6,0,0
AM Salvi,Delhi Daredevils,2009-2011,7,-,-,-,-,-,-,-,-,-,-,-,-,7,25.0,0,200,7,2/19,28.57,8,21.4,0,0
AN Ahmed,"Mumbai Indians, Royal Challengers Bangalore",2010-2015,17,6,5,36,18*,36,26,138.46,0,0,0,4,1,17,57.2,1,498,12,2/13,41.5,8.68,28.6,0,0
AN Ghosh,Kolkata Knight Riders,2009-2009,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-
AP Dole,Rajasthan Royals,2010-2010,3,2,0,34,30,17,22,154.54,0,0,0,3,1,3,11.0,0,112,5,2/36,22.4,10.18,13.2,0,0
AP Majumdar,Pune Warriors,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2,-,-,-,-,-,-,-,-,-,-,-
AP Tare,"Delhi Daredevils, Mumbai Indians, Sunrisers Hyderabad",2010-2017,35,28,4,339,59,14.12,273,124.17,0,1,5,40,11,-,-,-,-,-,-,-,-,-,-,-
AR Bawne,Delhi Daredevils,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
AR Patel,"Delhi Capitals, Kings XI Punjab",2014-2026,166,127,37,1919,66,21.32,1436,133.63,0,3,8,130,94,163,564.3,2,4156,131,4/21,31.72,7.36,25.8,1,0
AR Sharma,"Delhi Capitals, Punjab Kings",2024-2026,25,19,4,412,66*,27.46,250,164.8,0,2,0,25,30,-,-,-,-,-,-,-,-,-,-,-
AS Joseph,"Gujarat Titans, Mumbai Indians, Royal Challengers Bengaluru",2019-2024,22,7,6,27,15*,27,32,84.37,0,0,1,3,0,22,72.2,1,691,21,6/12,32.9,9.55,20.6,0,1
AS Rajpoot,"Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals",2013-2020,29,7,2,26,8,5.2,41,63.41,0,0,0,2,1,29,88.1,1,814,24,5/14,33.91,9.23,22,0,1
AS Raut,Rajasthan Royals,2009-2011,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,5,5.0,0,44,0,-,-,8.8,-,0,0
AS Roy,"Kolkata Knight Riders, Mumbai Indians",2019-2026,16,8,3,26,13*,5.2,27,96.29,0,0,4,3,0,13,33.5,0,281,9,2/19,31.22,8.3,22.5,0,0
AS Tendulkar,Mumbai Indians,2023-2024,5,1,0,13,13,13,9,144.44,0,0,0,0,1,5,12.1,0,114,3,1/9,38,9.36,24.3,0,0
AS Yadav,Deccan Chargers,2008-2008,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,-,-,-,-,-,-,-,-,-,-,-
AT Carey,Delhi Capitals,2020-2020,3,3,1,32,14*,16,29,110.34,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
AT Rayudu,"Chennai Super Kings, Mumbai Indians",2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173,-,-,-,-,-,-,-,-,-,-,-
AU Rashid,"Punjab Kings, Sunrisers Hyderabad",2021-2023,3,2,0,22,18,11,16,137.5,0,0,0,2,1,3,10.0,0,91,2,2/23,45.5,9.1,30,0,0
AU Verma,Sunrisers Hyderabad,2025-2026,18,16,4,300,74,25,178,168.53,0,1,0,16,25,-,-,-,-,-,-,-,-,-,-,-
AUK Pathan,Royal Challengers Bangalore,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,3,6.3,0,63,0,-,-,9.69,-,0,0
Abdul Basith,Rajasthan Royals,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Abdul Samad,"Lucknow Super Giants, Sunrisers Hyderabad",2020-2026,67,56,14,813,45,19.35,551,147.54,0,0,3,52,51,7,9.3,0,125,2,1/9,62.5,13.15,28.5,0,0
Abdur Razzak,Royal Challengers Bangalore,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,1,2.0,0,29,0,-,-,14.5,-,0,0
Abhinandan Singh,Royal Challengers Bengaluru,2026-2026,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9.4,0,122,3,2/30,40.66,12.62,19.3,0,0
Abhishek Sharma,"Delhi Daredevils, Sunrisers Hyderabad",2018-2026,81,78,7,1945,141,27.39,1173,165.81,1,10,4,183,114,34,57.5,0,523,11,2/4,47.54,9.04,31.5,0,0
Abishek Porel,Delhi Capitals,2023-2025,31,29,3,661,65,25.42,441,149.88,0,3,2,65,27,-,-,-,-,-,-,-,-,-,-,-
Akash Deep,"Lucknow Super Giants, Royal Challengers Bangalore, Royal Challengers Bengaluru",2022-2025,14,5,2,25,17,8.33,14,178.57,0,0,2,2,2,14,46.2,1,548,10,3/45,54.8,11.82,27.8,0,0
Akash Singh,"Chennai Super Kings, Lucknow Super Giants, Rajasthan Royals",2021-2025,10,-,-,-,-,-,-,-,-,-,-,-,-,10,34.1,0,326,9,2/30,36.22,9.54,22.7,0,0
Aman Hakim Khan,"Delhi Capitals, Kolkata Knight Riders",2022-2023,12,10,1,115,51,12.77,104,110.57,0,1,1,8,6,1,1.0,0,13,0,-,-,13,-,0,0
Anand Rajan,"Deccan Chargers, Sunrisers Hyderabad",2011-2013,8,-,-,-,-,-,-,-,-,-,-,-,-,8,24.5,0,201,8,3/27,25.12,8.09,18.6,0,0
Anirudh Singh,Deccan Chargers,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1,-,-,-,-,-,-,-,-,-,-,-
Ankit Sharma,"Deccan Chargers, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Sunrisers Hyderabad",2012-2018,22,10,3,87,30,12.42,67,129.85,0,0,1,7,4,21,61.1,0,450,12,2/20,37.5,7.35,30.5,0,0
Ankit Soni,Gujarat Lions,2017-2017,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,6,18.1,0,144,2,1/16,72,7.92,54.5,0,0
Anmolpreet Singh,"Mumbai Indians, Sunrisers Hyderabad",2021-2024,9,9,0,139,36,15.44,115,120.86,0,0,1,19,3,-,-,-,-,-,-,-,-,-,-,-
Anuj Rawat,"Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru",2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,-,-,-,-,-,-,-,-,-,-,-
Anureet Singh,"Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals",2009-2018,23,8,4,36,15,9,47,76.59,0,0,2,2,1,22,68.4,0,623,18,3/23,34.61,9.07,22.8,0,0
Arshad Khan,"Gujarat Titans, Lucknow Super Giants, Mumbai Indians",2023-2025,19,12,6,124,58*,20.66,88,140.9,0,1,1,6,9,19,45.2,0,521,12,3/39,43.41,11.49,22.6,0,0
Arshdeep Singh,"Kings XI Punjab, Punjab Kings",2019-2026,86,14,8,31,10*,5.16,46,67.39,0,0,3,4,0,85,299.4,2,2719,99,5/32,27.46,9.07,18.1,2,1
Ashok Sharma,Gujarat Titans,2026-2026,4,1,1,0,0*,-,1,0,0,0,0,0,0,4,14.0,0,145,4,2/32,36.25,10.35,21,0,0
Ashwani Kumar,Mumbai Indians,2025-2025,7,-,-,-,-,-,-,-,-,-,-,-,-,7,20.3,0,232,11,4/24,21.09,11.31,11.1,1,0
Auqib Nabi,Delhi Capitals,2026-2026,1,1,0,4,4,4,2,200,0,0,0,1,0,1,2.0,0,17,0,-,-,8.5,-,0,0
Avesh Khan,"Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore",2017-2026,79,16,13,67,19*,22.33,41,163.41,0,0,1,7,4,78,279.5,1,2565,90,4/24,28.5,9.16,18.6,1,0
Azhar Mahmood,"Kings XI Punjab, Kolkata Knight Riders",2012-2015,23,21,2,388,80,20.42,303,128.05,0,2,2,39,13,23,89.3,0,700,29,3/20,24.13,7.82,18.5,0,0
Azmatullah Omarzai,"Gujarat Titans, Punjab Kings",2024-2025,16,9,1,99,21*,12.37,74,133.78,0,0,0,8,5,15,48.0,0,465,12,2/27,38.75,9.68,24,0,0
B Akhil,"Kochi Tuskers Kerala, Royal Challengers Bangalore",2008-2011,15,11,5,76,27*,12.66,55,138.18,0,0,2,5,5,13,31.2,0,242,6,2/17,40.33,7.72,31.3,0,0
B Chipli,"Deccan Chargers, Delhi Daredevils, Royal Challengers Bangalore",2008-2013,23,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,1,1.0,0,20,0,-,-,20,-,0,0
B Geeves,Delhi Daredevils,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,91,1,1/50,91,11.37,48,0,0
B Indrajith,Kolkata Knight Riders,2022-2022,3,3,0,21,15,7,30,70,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-
B Kumar,"Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad",2011-2026,194,75,37,329,27,8.65,358,91.89,0,0,6,32,3,193,715.4,14,5521,202,5/19,27.33,7.71,21.2,2,2
B Laughlin,"Chennai Super Kings, Rajasthan Royals",2013-2018,9,4,2,5,4*,2.5,13,38.46,0,0,2,0,0,9,27.5,0,282,10,2/15,28.2,10.13,16.7,0,0
B Lee,"Kings XI Punjab, Kolkata Knight Riders",2008-2013,38,19,9,124,25,12.4,97,127.83,0,0,1,8,8,38,145.5,3,1095,25,3/15,43.8,7.5,35,0,0
B Muzarabani,Kolkata Knight Riders,2026-2026,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7.0,0,75,4,4/41,18.75,10.71,10.5,1,0
B Sai Sudharsan,Gujarat Titans,2022-2026,44,44,4,1906,108*,47.65,1305,146.05,2,13,0,199,55,-,-,-,-,-,-,-,-,-,-,-
B Stanlake,"Royal Challengers Bangalore, Sunrisers Hyderabad",2017-2018,6,1,1,5,5*,-,2,250,0,0,0,1,0,6,24.0,0,200,7,2/21,28.57,8.33,20.5,0,0
B Sumanth,Deccan Chargers,2010-2010,5,4,3,35,16,35,37,94.59,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
BA Bhatt,Kings XI Punjab,2011-2013,17,2,1,6,6*,6,7,85.71,0,0,1,0,1,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0
BA Stokes,"Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant",2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32,38,114.5,2,992,28,3/15,35.42,8.63,24.6,0,0
BAW Mendis,"Kolkata Knight Riders, Pune Warriors",2008-2013,10,3,1,3,2,1.5,6,50,0,0,1,0,0,10,40.0,0,285,8,2/19,35.62,7.12,30,0,0
BB McCullum,"Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore",2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,-,-,-,-,-,-,-,-,-,-,-
BB Samantray,"Deccan Chargers, Sunrisers Hyderabad",2012-2013,9,8,3,125,55,25,113,110.61,0,1,1,13,2,-,-,-,-,-,-,-,-,-,-,-
BB Sran,"Kings XI Punjab, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad",2015-2019,24,9,8,10,3*,10,14,71.42,0,0,0,0,0,24,80.3,0,757,18,3/28,42.05,9.4,26.8,0,0
BCJ Cutting,"Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad",2014-2019,21,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,17,46.5,0,429,10,2/20,42.9,9.16,28.1,0,0
BE Hendricks,Kings XI Punjab,2014-2015,7,3,2,1,1*,1,3,33.33,0,0,1,0,0,7,25.0,0,235,9,3/36,26.11,9.4,16.6,0,0
BJ Haddin,Kolkata Knight Riders,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-
BJ Hodge,"Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals",2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,20,39.0,0,303,17,4/13,17.82,7.76,13.7,1,0
BJ Rohrer,Delhi Daredevils,2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,1,1.0,0,12,0,-,-,12,-,0,0
BKG Mendis,Gujarat Titans,2025-2025,1,1,0,20,20,20,10,200,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-
BMAJ Mendis,Delhi Daredevils,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0,2,5.0,0,36,1,1/16,36,7.2,30,0,0
BR Dunk,Mumbai Indians,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-
BR Sharath,Gujarat Titans,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
BW Hilfenhaus,Chennai Super Kings,2012-2014,17,1,1,0,0*,-,0,-,0,0,0,0,0,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0
Basil Thampi,"Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad",2017-2022,25,8,7,32,13*,32,35,91.42,0,0,0,1,1,25,86.5,1,846,22,3/29,38.45,9.74,23.6,0,0
Bipul Sharma,"Kings XI Punjab, Sunrisers Hyderabad",2010-2017,33,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,28,71.0,0,572,17,2/13,33.64,8.05,25,0,0
Brijesh Sharma,Rajasthan Royals,2026-2026,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7.0,0,54,3,2/37,18,7.71,14,0,0
C Bosch,Mumbai Indians,2025-2026,4,3,1,58,27,29,36,161.11,0,0,0,5,3,3,10.1,0,94,2,1/26,47,9.24,30.5,0,0
C Ganapathy,Chennai Super Kings,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,1,1.0,0,13,0,-,-,13,-,0,0
C Green,"Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bengaluru",2023-2026,33,32,12,763,100*,38.15,498,153.21,1,2,0,67,34,30,75.1,0,692,17,2/12,40.7,9.2,26.5,0,0
C Madan,Mumbai Indians,2010-2010,1,1,0,15,15,15,19,78.94,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
C Munro,"Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders",2016-2019,13,12,0,177,40,14.75,141,125.53,0,0,2,19,8,2,2.0,0,15,0,-,-,7.5,-,0,0
C Nanda,Mumbai Indians,2009-2009,3,1,0,0,0,0,1,0,0,0,1,0,0,3,8.0,0,57,2,1/4,28.5,7.12,24,0,0
C Sakariya,"Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals",2021-2025,20,8,2,20,7,3.33,31,64.51,0,0,1,3,0,20,74.0,1,638,20,3/31,31.9,8.62,22.2,0,0
C de Grandhomme,"Kolkata Knight Riders, Royal Challengers Bangalore",2017-2019,25,21,5,303,40,18.93,225,134.66,0,0,3,18,18,19,36.0,0,319,6,3/4,53.16,8.86,36,0,0
CA Ingram,"Delhi Capitals, Delhi Daredevils",2011-2019,15,15,3,205,47,17.08,180,113.88,0,0,0,22,5,-,-,-,-,-,-,-,-,-,-,-
CA Lynn,"Deccan Chargers, Kolkata Knight Riders, Mumbai Indians",2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,-,-,-,-,-,-,-,-,-,-,-
CA Pujara,"Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore",2010-2014,30,22,3,390,51,20.52,391,99.74,0,1,1,50,4,-,-,-,-,-,-,-,-,-,-,-
CH Gayle,"Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore",2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,38,92.2,0,729,18,3/21,40.5,7.89,30.7,0,0
CH Morris,"Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore",2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,81,286.4,1,2295,95,4/23,24.15,8,18.1,4,0
CJ Anderson,"Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore",2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,22,49.3,0,518,11,2/18,47.09,10.46,27,0,0
CJ Dala,Delhi Daredevils,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,34,0,-,-,11.33,-,0,0
CJ Ferguson,Pune Warriors,2011-2012,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-
CJ Green,Kolkata Knight Riders,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.5,0,24,0,-,-,8.47,-,0,0
CJ Jordan,"Chennai Super Kings, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",2016-2023,34,13,3,81,30,8.1,77,105.19,0,0,1,3,3,34,111.2,1,1070,30,4/11,35.66,9.61,22.2,1,0
CJ McKay,Mumbai Indians,2012-2012,2,1,0,8,8,8,15,53.33,0,0,0,0,0,2,7.0,0,60,1,1/36,60,8.57,42,0,0
CK Kapugedera,Chennai Super Kings,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,3,2.5,0,49,0,-,-,17.29,-,0,0
CK Langeveldt,"Kolkata Knight Riders, Royal Challengers Bangalore",2009-2011,7,2,0,8,8,4,9,88.88,0,0,1,0,1,7,26.0,0,187,13,3/15,14.38,7.19,12,0,0
CL White,"Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad",2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36,6,7.0,0,86,1,1/14,86,12.28,42,0,0
CM Gautam,"Delhi Daredevils, Mumbai Indians",2013-2015,13,13,3,169,33,16.9,150,112.66,0,0,0,17,6,-,-,-,-,-,-,-,-,-,-,-
CPL Connolly,Punjab Kings,2026-2026,4,3,1,119,72*,59.5,78,152.56,0,1,0,12,5,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,"Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad",2016-2019,16,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,16,42.2,0,379,13,3/47,29.15,8.95,19.5,0,0
CR Woakes,"Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore",2017-2021,21,12,6,78,18,13,77,101.29,0,0,0,7,2,21,73.2,0,658,30,3/6,21.93,8.97,14.6,0,0
CRD Fernando,Mumbai Indians,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0,10,39.0,0,294,17,4/18,17.29,7.53,13.7,1,0
CV Varun,"Kings XI Punjab, Kolkata Knight Riders",2019-2026,86,14,9,26,10*,5.2,48,54.16,0,0,2,2,0,85,320.4,1,2464,100,5/20,24.64,7.68,19.2,1,1
D Brevis,"Chennai Super Kings, Mumbai Indians",2022-2026,17,16,0,455,57,28.43,297,153.19,0,2,2,30,33,1,0.3,0,8,1,1/8,8,16,3,0,0
D Ferreira,"Delhi Capitals, Rajasthan Royals",2024-2026,6,4,0,10,7,2.5,17,58.82,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
D Jansen,Mumbai Indians,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,53,1,1/53,53,13.25,24,0,0
