feature,importance_mean,importance_std
required_run_rate,0.046513782719481124,0.001909609807322217
target,0.03564975677553857,0.0049056248522466915
wickets_in_hand,0.03416724577252722,0.0025799799781477542
rrr_minus_crr,0.012277044243687729,0.0021655771864758375
runs_needed,0.005026638869585332,0.0030380491752347934
over_completed,0.000694927032661563,0.0006469418597993672
balls_remaining,6.949270326613854e-05,0.00010615185765472828
is_death_overs,0.0,0.0
is_powerplay,0.0,0.0
current_run_rate,-0.0006254343293954024,0.0006473564332861757
pre_match_elo_diff,-0.004424368774612009,0.0033479331398042753
current_score,-0.005536252026870536,0.0018164364067746492
